id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Label,,
298,0,192.168.234.130,,,38573,192.168.234.133,,,135,6,4,0,1618585714652,1618585714653,1,10,828,1618585714652,1618585714653,1,6,488,1618585714652,1618585714653,1,4,340,68,82.8,27.3284548491942,140,68,81.3333333333333,28.918275651682,140,68,85,28.9136645896019,128,0,0.111111111111111,0.333333333333333,1,0,0.2,0.447213595499958,1,0,0.333333333333333,0.577350269189626,1,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,DCE_RPC,RPC,0,,,,,,WannaCry,,
320,0,192.168.234.130,,,42897,192.168.234.133,,,445,6,4,0,1618585725366,1618585725404,38,10,4895,1618585725366,1618585725396,30,6,4621,1618585725366,1618585725404,38,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4.22222222222222,9.28409631813697,28,0,6,12.3085336250912,28,1,12.6666666666667,14.5716619962629,29,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
327,0,192.168.234.130,,,36135,192.168.234.133,,,445,6,4,0,1618585725373,1618585725405,32,10,4895,1618585725373,1618585725396,23,6,4621,1618585725374,1618585725405,31,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.55555555555556,7.16085035298028,21,0,4.6,9.18150314491042,21,1,10.3333333333333,10.0664459136943,21,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
334,0,192.168.234.130,,,46411,192.168.234.133,,,445,6,4,0,1618585725377,1618585725406,29,10,4895,1618585725377,1618585725396,19,6,4621,1618585725378,1618585725406,28,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.22222222222222,5.9113826169894,17,0,3.8,7.39594483484024,17,1,9.33333333333333,8.50490054811538,18,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
337,0,192.168.234.130,,,37549,192.168.234.133,,,445,6,4,0,1618585725379,1618585725390,11,12,1240,1618585725379,1618585725390,11,7,620,1618585725380,1618585725390,10,5,620,62,103.333333333333,55.4146900991775,215,68,88.5714285714286,33.9796858081273,153,62,124,76.1413159854753,215,0,1,1.73205080756888,6,1,1.83333333333333,2.04124145231931,6,0,2.5,2.64575131106459,6,2,0,0,0,11,4,1,1,1,0,0,0,6,2,0,1,1,0,0,0,5,2,1,0,NetBIOS.SMBv1,System,0,,,,,,WannaCry,,
339,0,192.168.234.130,,,35421,192.168.234.133,,,445,6,4,0,1618585725388,1618585725407,19,10,4895,1618585725388,1618585725396,8,6,4621,1618585725388,1618585725407,19,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,2.11111111111111,3.72305131728145,10,0,1.6,3.04959013639538,7,1,6.33333333333333,4.72581562625261,10,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
412,0,192.168.234.130,,,44875,192.168.234.133,,,445,6,4,0,1618585725367,1618585725404,37,10,4895,1618585725367,1618585725396,29,6,4621,1618585725367,1618585725404,37,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4.11111111111111,8.9644359059068,27,0,5.8,11.861703081767,27,1,12.3333333333333,14.0118997046558,28,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
415,0,192.168.234.130,,,40929,192.168.234.133,,,445,6,4,0,1618585725368,1618585725405,37,10,4895,1618585725368,1618585725396,28,6,4621,1618585725369,1618585725405,36,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4.11111111111111,8.70982842030261,26,0,5.6,11.4149025401008,26,1,12,12.7671453348037,26,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
419,0,192.168.234.130,,,40717,192.168.234.133,,,445,6,4,0,1618585725369,1618585725405,36,10,4895,1618585725369,1618585725396,27,6,4621,1618585725370,1618585725405,35,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,4,8.39642781187333,25,0,5.4,10.968135666557,25,1,11.6666666666667,12.2202018532156,25,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
422,0,192.168.234.130,,,35273,192.168.234.133,,,445,6,4,0,1618585725371,1618585725405,34,10,4895,1618585725371,1618585725396,25,6,4621,1618585725372,1618585725405,33,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.77777777777778,7.7746025264604,23,0,5,10.0747208398049,23,1,11,11.13552872566,23,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
429,0,192.168.234.130,,,45703,192.168.234.133,,,445,6,4,0,1618585725376,1618585725406,30,10,4895,1618585725376,1618585725396,20,6,4621,1618585725377,1618585725406,29,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.33333333333333,6.20483682299543,18,0,4,7.84219357067906,18,2,9.66666666666667,8.02080627701064,18,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
436,0,192.168.234.130,,,43323,192.168.234.133,,,445,6,4,0,1618585725390,1618585725407,17,10,4895,1618585725390,1618585725396,6,6,4621,1618585725390,1618585725407,17,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,1.88888888888889,3.44399638662864,10,0,1.2,2.16794833886788,5,1,5.66666666666667,4.50924975282289,10,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
456,0,192.168.234.130,,,36843,192.168.234.133,,,445,6,4,0,1618585715310,1618585715349,39,38,66618,1618585715310,1618585715349,39,18,64875,1618585715310,1618585715349,39,20,1743,68,1753.10526315789,3232.09042713238,8756,68,3604.16666666667,3980.07450787486,8756,68,87.15,43.7604423628175,215,0,1.05405405405405,3.7263770455881,22,0,2.29411764705882,5.31230535975617,22,0,2.05263157894737,5.40034653425671,23,2,0,0,0,37,16,0,0,1,0,0,0,17,12,0,0,1,0,0,0,20,4,0,0,NetBIOS.SMBv1,System,0,,,,,,WannaCry,,
458,0,192.168.234.130,,,44893,192.168.234.133,,,445,6,4,0,1618585714616,1618585715309,693,27,3664,1618585714616,1618585715308,692,17,2160,1618585714617,1618585715309,692,10,1504,62,135.703703703704,107.350545416125,488,68,127.058823529412,104.890699413863,488,62,150.4,115.549123752627,445,0,26.6538461538462,119.093557275847,609,0,43.25,151.263787250397,609,0,76.8888888888889,216.453484867098,654,2,0,0,0,26,14,1,1,1,0,0,0,16,7,0,1,1,0,0,0,10,7,1,0,NetBIOS.SMBv1,System,0,,,,,,WannaCry,,
481,0,192.168.234.130,,,36843,192.168.234.133,,,445,6,4,0,1618585725356,1618585725932,576,10,5025,1618585725356,1618585725396,40,5,4546,1618585725357,1618585725932,575,5,479,62,502.5,1306.97379468756,4221,68,909.2,1851.49472048937,4221,62,95.8,43.1416272293941,160,0,64,177.390106826734,536,0,10,17.3781471969828,36,0,143.75,262.008110561486,536,0,0,0,0,10,4,1,1,0,0,0,0,5,2,0,1,0,0,0,0,5,2,1,0,NetBIOS.SMBv1,System,0,,,,,,WannaCry,,
488,0,192.168.234.130,,,35093,192.168.234.133,,,445,6,4,0,1618585725359,1618585725385,26,12,1342,1618585725359,1618585725384,25,7,620,1618585725359,1618585725385,26,5,722,62,111.833333333333,77.5157852936869,317,68,88.5714285714286,33.9796858081273,153,62,144.4,111.889677808098,317,0,2.36363636363636,5.57266053645343,19,0,4.16666666666667,7.30524925424634,19,0,6.5,9.1469484893415,20,2,0,0,0,11,4,1,1,1,0,0,0,6,2,0,1,1,0,0,0,5,2,1,0,NetBIOS.SMBv1,System,0,,,,,,WannaCry,,
491,0,192.168.234.130,,,37379,192.168.234.133,,,445,6,4,0,1618585725373,1618585725405,32,10,4895,1618585725373,1618585725396,23,6,4621,1618585725373,1618585725405,32,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.55555555555556,7.51849571242664,22,0,4.6,9.73652915571047,22,1,10.6666666666667,10.5987420637231,22,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
495,0,192.168.234.130,,,41421,192.168.234.133,,,445,6,4,0,1618585725370,1618585725405,35,10,4895,1618585725370,1618585725396,26,6,4621,1618585725371,1618585725405,34,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.88888888888889,8.08462189042327,24,0,5.2,10.5214067500501,24,1,11.3333333333333,11.6761865920913,24,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
498,0,192.168.234.130,,,46409,192.168.234.133,,,445,6,4,0,1618585725375,1618585725406,31,10,4895,1618585725375,1618585725396,21,6,4621,1618585725375,1618585725406,31,4,274,62,489.5,940.317115540166,2964,68,770.166666666667,1164.13580250187,2964,62,68.5,5.74456264653803,76,0,3.44444444444444,6.67291373972254,19,0,4.2,8.28854631404084,19,1,10.3333333333333,9.50438495292217,20,2,0,0,0,9,4,1,1,1,0,0,0,5,4,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
502,0,192.168.234.130,,,46363,192.168.234.133,,,445,6,4,0,1618585725387,1618585725407,20,10,4895,1618585725387,1618585725396,9,6,4621,1618585725387,1618585725407,20,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,2.22222222222222,3.89800518784217,10,0,1.8,3.4928498393146,8,1,6.66666666666667,4.93288286231625,10,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
505,0,192.168.234.130,,,41565,192.168.234.133,,,445,6,4,0,1618585725385,1618585725397,12,10,4895,1618585725385,1618585725396,11,6,4621,1618585725385,1618585725397,12,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,1.33333333333333,2.91547594742265,9,0,2.2,3.83405790253616,9,0,4,6.08276253029822,11,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
512,0,192.168.234.130,,,36945,192.168.234.133,,,445,6,4,0,1618585725386,1618585725406,20,10,4895,1618585725386,1618585725396,10,6,4621,1618585725386,1618585725406,20,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,2.22222222222222,3.86580450158107,9,0,2,3.93700393700591,9,1,6.66666666666667,4.93288286231625,10,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
559,0,192.168.234.130,,,4444,192.168.234.133,,,49159,6,4,0,1618585767018,1618585767019,1,4,608,1618585767018,1618585767019,1,3,392,1618585767019,1618585767019,0,1,216,56,152,67.8822509939086,216,56,130.666666666667,64.6632301492381,168,216,216,0,216,0,0.333333333333333,0.577350269189626,1,0,0.5,0.707106781186548,1,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,0,0,Unknown,Unspecified,0,,,,,,WannaCry,,
582,0,192.168.234.130,,,41961,192.168.234.133,,,445,6,4,0,1618585725389,1618585725407,18,10,4895,1618585725389,1618585725396,7,6,4621,1618585725389,1618585725407,18,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,2,3.57071421427143,10,0,1.4,2.60768096208106,6,1,6,4.58257569495584,10,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
628,0,192.168.234.130,,,39085,192.168.234.133,,,445,6,4,0,1618585725378,1618585725406,28,10,4895,1618585725378,1618585725396,18,6,4621,1618585725378,1618585725406,28,4,274,62,489.5,943.581268948844,2964,68,770.166666666667,1168.88021912712,2964,62,68.5,5.74456264653803,76,0,3.11111111111111,5.62237593114433,16,0,3.6,6.94982014155762,16,1,9.33333333333333,8.50490054811538,18,2,0,0,0,9,3,1,1,1,0,0,0,5,3,0,1,1,0,0,0,4,0,1,0,SMBv23,System,1,,,,,,WannaCry,,
